n_qubits,n_layers,seed,dataset,model,train_loss,test_loss,acc_train,acc_test,lr
2,15,5,digits_08,mixed,0.1445856357037586,0.5168982604832347,0.94,0.85,8.294050780318216e-05
2,16,0,digits_08,mixed,0.055243046451925,0.1275787449824795,0.9633333333333334,0.15,7.15620187635356e-05
2,20,0,digits_08,mixed,0.1053204566365291,0.1274787438184891,0.9066666666666666,0.84,0.0002694306001559
2,20,1,digits_08,mixed,0.0803906913253195,0.3273685972767934,0.94,0.87,6.166421915144874e-05
2,20,2,digits_08,mixed,0.1137892374292519,0.1250136015809752,0.8866666666666667,0.53,0.0001698077018579
2,20,3,digits_08,mixed,0.5028911915012825,0.3770501236238546,0.5766666666666667,0.87,0.0001330905184359
2,20,4,digits_08,mixed,0.0893436718789509,0.4158123926986665,0.93,0.79,0.0001631662376138
2,20,5,digits_08,mixed,0.204576860795529,0.4878366958104593,0.95,0.84,7.115293728760521e-05
2,21,0,digits_08,mixed,0.0648192492954645,0.1613046176346712,0.97,0.21,6.831776604274049e-05
2,25,0,digits_08,mixed,0.1065762551833863,0.1380455861521559,0.9,0.84,5.860652918141303e-05
2,25,1,digits_08,mixed,0.0942777014234922,0.3223402027260331,0.94,0.83,0.0001465347169315
2,25,2,digits_08,mixed,0.1182714156284265,0.1533587839042944,0.8966666666666666,0.64,0.0001593453490363
2,25,3,digits_08,mixed,0.4603929781703378,0.3524298882296195,0.6333333333333333,0.76,6.271627076661464e-05
2,25,4,digits_08,mixed,0.0980643450379707,0.418426253122899,0.93,0.79,0.00013554178559
2,25,5,digits_08,mixed,0.2082438498554829,0.4358502798568122,0.9266666666666666,0.8200000000000001,6.560459104496791e-05
2,30,0,digits_08,mixed,0.1187855585703999,0.1585177544517149,0.9066666666666666,0.78,0.0001095443709233
2,30,1,digits_08,mixed,0.1108455219993108,0.3471392588806284,0.94,0.78,5.1951638528023774e-05
2,30,2,digits_08,mixed,0.1319668546338666,0.1637806533627034,0.8933333333333333,0.64,0.0001385676098801
2,30,3,digits_08,mixed,0.4368909167880889,0.3421464944582145,0.5766666666666667,0.8200000000000001,0.0001111075430739
2,30,4,digits_08,mixed,0.1097182547538294,0.3661940009589337,0.93,0.84,0.0001314905042597
2,30,5,digits_08,mixed,0.230640505772043,0.4459290455183856,0.92,0.77,0.0001816358117493
2,35,0,digits_08,mixed,0.1306337545153142,0.1715445184134999,0.9133333333333332,0.75,8.398080159718824e-05
2,35,1,digits_08,mixed,0.2322681908477626,0.2948679344703453,0.6166666666666667,0.62,0.0032223725362915
2,35,2,digits_08,mixed,0.1399882573589336,0.1812775628376529,0.8933333333333333,0.5800000000000001,6.319367704790651e-05
2,35,3,digits_08,mixed,0.4078292152802836,0.3270816884740178,0.5733333333333334,0.84,5.9692656352460585e-05
2,35,4,digits_08,mixed,0.1244795420305134,0.3459764539720645,0.92,0.78,9.454700517547996e-05
2,35,5,digits_08,mixed,0.208876400927028,0.3904532764350425,0.92,0.81,6.361335880715856e-05
2,40,0,digits_08,mixed,0.1427828965899946,0.1683260992802878,0.9066666666666666,0.81,0.0001898847993262
2,40,1,digits_08,mixed,0.1300607397633979,0.2907756838918092,0.9333333333333332,0.78,5.961647058908421e-05
2,40,2,digits_08,mixed,0.1448560789517325,0.1790237137423118,0.9,0.5700000000000001,7.324927339799763e-05
2,40,3,digits_08,mixed,0.3979888401828002,0.3249056224221026,0.6966666666666667,0.84,6.310098951612061e-05
2,40,4,digits_08,mixed,0.1320139354468715,0.3215022603158178,0.9266666666666666,0.77,5.0957618930132094e-05
2,40,5,digits_08,mixed,0.2371316180173655,0.3453879395425817,0.9066666666666666,0.75,0.0001374737574108
2,45,0,digits_08,mixed,0.1435637871646261,0.1782599929814679,0.91,0.72,0.000133160805466
2,45,1,digits_08,mixed,0.1408377203745315,0.2839844023935367,0.9533333333333334,0.77,6.417275172236758e-05
2,45,2,digits_08,mixed,0.1611986851213865,0.2110950639574067,0.8933333333333333,0.53,5.7907506853635946e-05
2,45,3,digits_08,mixed,0.3706303980020892,0.3063811992861004,0.6333333333333333,0.85,0.0001195599559785
2,45,4,digits_08,mixed,0.1421358824218689,0.3158662736051891,0.9266666666666666,0.77,6.0055222273402754e-05
2,45,5,digits_08,mixed,0.2152022361180483,0.3488362899358004,0.92,0.77,5.426518444943236e-05
2,50,0,digits_08,mixed,0.1521233179106207,0.1901540494939814,0.9333333333333332,0.7,6.061713261508028e-05
2,50,1,digits_08,mixed,0.1468650972111954,0.2888365146411595,0.9433333333333334,0.75,0.0001326473988733
2,50,2,digits_08,mixed,0.1641379781126509,0.1940313083039449,0.9166666666666666,0.61,0.0001360825123024
2,50,3,digits_08,mixed,0.3691992634413295,0.3138346099841406,0.67,0.76,5.400364453468137e-05
2,50,4,digits_08,mixed,0.1477480023798823,0.3054034331870359,0.9366666666666666,0.75,8.435017929587714e-05
2,50,5,digits_08,mixed,0.2239761656922841,0.3461406663490047,0.91,0.8,0.0001241279765781
2,1,0,digits_08,pulsed,0.1188059774587632,,0.8266666666666667,0.65,0.0057595219369859
2,1,1,digits_08,pulsed,0.1728381647303784,,0.5066666666666667,0.67,0.0057458747352598
2,1,2,digits_08,pulsed,0.1314274518060907,,0.8333333333333334,0.5,0.0046291298925445
2,1,3,digits_08,pulsed,0.3671605649058558,,0.6,0.54,0.0022617766498425
2,5,0,digits_08,pulsed,0.1001662388703033,,0.8933333333333333,0.68,0.0001832844076888
2,5,1,digits_08,pulsed,0.1371174566609321,,0.8233333333333334,0.63,8.924298885942663e-05
2,5,2,digits_08,pulsed,0.1177888323720216,,0.8633333333333333,0.6,0.0004893089794817
2,5,3,digits_08,pulsed,0.5486038212992403,,0.6233333333333333,0.79,0.0002651153961239
2,10,0,digits_08,pulsed,0.0947538458328887,,0.8866666666666667,0.6,0.0003910312781649
2,10,1,digits_08,pulsed,0.1116511941533209,,0.89,0.61,0.0001928756832202
2,10,2,digits_08,pulsed,0.110086032048141,,0.8733333333333333,0.51,0.0001166112850869
2,10,3,digits_08,pulsed,0.5541548863906578,,0.5533333333333333,0.76,0.0001188804094948
2,15,0,digits_08,pulsed,0.0938542507317047,,0.91,0.64,0.0001949796216181
2,15,1,digits_08,pulsed,0.121147715320838,,0.8733333333333333,0.6,0.0001296497630082
2,15,2,digits_08,pulsed,0.1167353927473857,,0.8866666666666667,0.53,0.0001370290812594
2,15,3,digits_08,pulsed,0.4956934019555751,,0.64,0.77,0.0001135664925389
2,20,0,digits_08,pulsed,0.1084955807249304,,0.9333333333333332,0.62,0.0002010819971386
2,20,1,digits_08,pulsed,0.1239854967271205,,0.89,0.62,8.77943135675485e-05
2,20,2,digits_08,pulsed,0.1220025406461503,,0.88,0.6,8.0359073855508e-05
2,20,3,digits_08,pulsed,0.4932388306085096,,0.77,0.8,5.217990668495016e-05
2,25,0,digits_08,pulsed,0.1128797632532948,,0.9366666666666666,0.65,6.627873247590377e-05
2,25,1,digits_08,pulsed,0.1404654855927232,,0.8733333333333333,0.63,5.84235038569512e-05
2,25,2,digits_08,pulsed,0.1358240305703078,,0.8866666666666667,0.51,8.778525762403788e-05
2,25,3,digits_08,pulsed,0.4503525847304337,,0.5866666666666667,0.73,0.0001015152563537
2,30,0,digits_08,pulsed,0.1183554906419,,0.9166666666666666,0.55,0.0001890077345432
2,30,1,digits_08,pulsed,0.1469798984427108,,0.9033333333333332,0.64,0.0001477972177179
2,30,2,digits_08,pulsed,0.1382840278266585,,0.9033333333333332,0.52,5.3364012782058384e-05
2,35,0,digits_08,pulsed,0.1235039181753913,,0.94,0.64,0.0001089603103351
2,35,1,digits_08,pulsed,0.148794165387774,,0.91,0.58,6.992466427928498e-05
2,35,2,digits_08,pulsed,0.1435719497814405,,0.91,0.56,0.0001491049770001
2,40,0,digits_08,pulsed,0.1423663793197076,,0.9533333333333334,0.6,0.0001134874604036
2,40,1,digits_08,pulsed,0.2349732829179744,,0.6233333333333333,0.6,0.0157608844067621
2,40,2,digits_08,pulsed,0.1629705159962164,,0.9066666666666666,0.63,0.0001420652064618
2,45,0,digits_08,pulsed,0.1503120314643908,,0.9333333333333332,0.6,9.009098869327487e-05
2,45,1,digits_08,pulsed,0.1634668297986869,,0.9133333333333332,0.59,0.0001238792515345
2,45,2,digits_08,pulsed,0.1624257947347288,,0.92,0.5700000000000001,8.559354021153397e-05
2,50,0,digits_08,pulsed,0.1591675011626688,,0.9433333333333334,0.64,7.47652360003916e-05
2,50,1,digits_08,pulsed,0.1719546380378995,,0.9133333333333332,0.56,5.469767114567341e-05
2,50,2,digits_08,pulsed,0.1699385335133286,,0.91,0.52,8.248780507674755e-05
