,n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr,dataset,p
82,2,20,1,0.248585888307359,0.7933333333333333,0.55,0.0498574583551917,0.2452775011212107,0.8766666666666667,0.75,0.000273524473619,digits_08,0.09
98,2,20,1,0.2490582181491731,0.7266666666666667,0.56,0.0467144254657848,0.2470150920684148,0.8866666666666667,0.73,0.0005813575425109,digits_08,0.12
107,2,20,1,0.2490582181491731,0.7266666666666667,0.56,0.0467144254657848,0.2470150920684148,0.8866666666666667,0.73,0.0005813575425109,digits_08,0.12
122,2,20,1,0.249571467894871,0.8566666666666667,0.56,0.0494811495084151,0.2485504798862465,0.76,0.65,0.0009146310798386,digits_08,0.12
123,2,20,1,0.2493152336923027,0.6866666666666666,0.56,0.0477047270216094,0.2479870339568347,0.8333333333333334,0.72,0.00055221038388,digits_08,0.15
132,2,20,1,0.2493152336923027,0.6866666666666666,0.56,0.0477047270216094,0.2479870339568347,0.8333333333333334,0.72,0.00055221038388,digits_08,0.15
147,2,20,1,0.2495932945326699,0.5166666666666667,0.56,0.0486290415632692,0.2485945014793294,0.6933333333333334,0.62,0.0007635230729067,digits_08,0.18
156,2,20,1,0.2495932945326699,0.5166666666666667,0.56,0.0486290415632692,0.2485945014793294,0.6933333333333334,0.62,0.0007635230729067,digits_08,0.18
171,2,20,1,0.2498425542190183,0.52,0.56,0.0436467365290975,0.2493652640487281,0.52,0.56,0.0012382553974152,digits_08,0.18
172,2,20,1,0.2497026045298533,0.52,0.56,0.0484854442961911,0.2489799935060769,0.52,0.56,0.0005872081117887,digits_08,0.21
181,2,20,1,0.2497026045298533,0.52,0.56,0.0484854442961911,0.2489799935060769,0.52,0.56,0.0005872081117887,digits_08,0.21
196,2,20,1,0.2497629554472125,0.52,0.56,0.049472451837668,0.2491799204629561,0.52,0.56,0.0013572168308438,digits_08,0.24
205,2,20,1,0.2497629554472125,0.52,0.56,0.049472451837668,0.2491799204629561,0.52,0.56,0.0013572168308438,digits_08,0.24
220,2,20,1,0.2499207634174637,0.52,0.56,0.0466622312845488,0.2496609262164167,0.52,0.56,0.0009810691770307,digits_08,0.24
221,2,20,1,0.2498235896357665,0.52,0.56,0.0319299695310507,0.2493591546530666,0.52,0.56,0.0006269750676128,digits_08,0.27
230,2,20,1,0.2498235896357665,0.52,0.56,0.0319299695310507,0.2493591546530666,0.52,0.56,0.0006269750676128,digits_08,0.27
245,2,20,1,0.2498529573144251,0.52,0.56,0.0497327592224577,0.2494842396052402,0.52,0.56,0.0007595116217197,digits_08,0.3
