"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"28","170.64350728933223","13.015609627695904","4.516888123658932","-0.31512500613226163","0.007600000000000051","0.010800000000000032","0.0044","1244.4444444444443","0.00018639674186635453","0","0.00018639674186635453","0.00018639674186635453","28_27:0.01330852073845809","28_27:561.7777777777777","true"
"29","303.8597308905023","160.9940547094937","4.460012497376006","-0.3164470706353105","0.015600000000000058","0.0162","0.015000000000000013","1244.4444444444443","0.00039816051377471813","0","0.00039816051377471813","0.00039816051377471813","29_30:0.019104455918099145;29_28:0.008044757438242733","29_30:561.7777777777777;29_28:561.7777777777777","true"
"30","278.24370757612274","132.5893091870299","4.6462169160661055","-0.2835614267270895","0.059700000000000086","0.06000000000000005","0.0594","1244.4444444444443","0.0011842884336434642","0","0.0011842884336434642","0.0011842884336434642","","","true"
"31","72.2434700402032","0.5851053708091368","4.612882852505554","-0.3112675880038357","0.02400000000000002","0.0384","0.009600000000000053","1244.4444444444443","0.004810139500499743","0","0.004810139500499743","0.004810139500499743","31_30:0.09818496532553306;31_32:0.026354067232825684","31_30:561.7777777777777;31_32:561.7777777777777","true"
"32","298.0897616822624","104.55277848240384","4.499285232864754","-0.3128171150093984","0.024599999999999955","0.019399999999999973","0.0298","1244.4444444444443","0.0001402323999140611","0","0.0001402323999140611","0.0001402323999140611","","","true"
"33","309.4359667699425","193.43957022262936","4.596928555777162","0","0.005300000000000082","0.006800000000000028","0.0038","1244.4444444444443","0.00018621553803561914","0","0.00018621553803561914","0.00018621553803561914","33_20:0.008433633634989668;33_39:0.023254445555886127","33_20:561.7777777777777;33_39:561.7777777777777","true"
"34","134.13458322228288","89.07933628164504","4.562033439924722","0","0.008199999999999985","0.011199999999999988","0.0052","1244.4444444444443","0.00034092291808916097","0","0.00034092291808916097","0.00034092291808916097","34_24:0.011848494951389371","34_24:561.7777777777777","true"
"35","292.8665532501465","91.58500368306042","4.721872368832175","-0.30795810239191124","0.005299999999999971","0.007399999999999962","0.0032","1244.4444444444443","0.0005017363679633522","0","0.0005017363679633522","0.0005017363679633522","35_47:0.014308862823440988;35_28:0.011210235214501596","35_47:561.7777777777777;35_28:561.7777777777777","true"
"36","304.78791978812706","210.87550205730258","4.6080272902244355","-0.31164624269239977","0.0029000000000000137","0.0041999999999999815","0.0016","1244.4444444444443","0.00023241398275630865","0","0.00023241398275630865","0.00023241398275630865","36_32:0.006985143608534111;36_51:0.005896755379948465","36_32:561.7777777777777;36_51:561.7777777777777","true"
"37","437.83768915198686","217.9789804414255","4.497764615829418","0","0.012700000000000045","0.0168","0.008600000000000052","1244.4444444444443","0.002752203414432938","0","0.002752203414432938","0.002752203414432938","37_38:0.015718443229231688;37_52:0.021229767537887495","37_38:561.7777777777777;37_52:561.7777777777777","true"
"38","490.05565605211063","299.9855157895203","4.475502175516187","-0.33539586706236296","0.011700000000000044","0.015800000000000036","0.0076","1244.4444444444443","0.0013061497265284242","0","0.0013061497265284242","0.0013061497265284242","","","true"
"39","202.9556646108753","60.685874296546615","4.504427710737715","-0.31295465019890567","0.005300000000000082","0.008600000000000052","0.002","1244.4444444444443","0.001433809457915372","0","0.001433809457915372","0.001433809457915372","39_38:0.02198563828642322","39_38:561.7777777777777","true"
"40","332.47495175154245","30.292173221596233","4.4643457455564555","-0.33809284738007156","0.006199999999999983","0.009199999999999986","0.0032","1244.4444444444443","0.000210766887590942","0","0.000210766887590942","0.000210766887590942","40_39:0.024711458050903023;40_41:0.011055774353115444","40_39:561.7777777777777;40_41:561.7777777777777","true"
"41","291.1236311147716","314.38883137648946","4.575892298858814","-0.3452224783858925","0.009199999999999986","0.01419999999999999","0.0042","1244.4444444444443","0.00033298367035293426","0","0.00033298367035293426","0.00033298367035293426","","","true"
"42","125.31103552464533","68.61525698319316","4.641379904446198","-0.33193206992602775","0.0040000000000000036","0.00539999999999996","0.0026","1244.4444444444443","0.00016803714674902846","0","0.00016803714674902846","0.00016803714674902846","42_41:0.007441622822056515;42_43:0.00787314239884726","42_41:561.7777777777777;42_43:561.7777777777777","true"
"43","215.49932694590234","178.18967739905545","4.523118692696003","-0.3218076034687584","0.0026999999999999247","0.0043999999999999595","0.001","1244.4444444444443","0.0002768102376407083","0","0.0002768102376407083","0.0002768102376407083","43_34:0.010023712314852717","43_34:561.7777777777777","true"
"44","19.553105560714542","35.003735820976864","4.594271771546033","-0.2725547830259511","0.060799999999999965","0.07920000000000005","0.0424","1244.4444444444443","0.0011081012906568463","0","0.0011081012906568463","0.0011081012906568463","44_43:0.024240066814897154","44_43:561.7777777777777","true"
"45","268.79897990898394","90.79568664424643","4.630440486512724","-0.31121477664524183","0.0032999999999999696","0.00539999999999996","0.0012","1244.4444444444443","0.000185219441559477","0","0.000185219441559477","0.000185219441559477","45_44:0.01626541685749691;45_46:0.01862274006055417","45_44:561.7777777777777;45_46:561.7777777777777","true"
"46","207.78323837656635","52.752611519712026","4.710118176337489","-0.31051099269051724","0.0044999999999999485","0.007199999999999984","0.0018","1244.4444444444443","0.0008588166086479575","0","0.0008588166086479575","0.0008588166086479575","46_47:0.026462671898268675","46_47:561.7777777777777","true"
"47","408.80918075209945","145.7375203731347","4.68030330441276","-0.2791698234955903","0.08000000000000007","0.03620000000000001","0.1238","1244.4444444444443","0.0014161979156058146","0","0.0014161979156058146","0.0014161979156058146","","","true"
"48","208.69128803595544","72.22555087769967","4.62512783827327","-0.31121814662509445","0.0025999999999999357","0.0038000000000000256","0.0014","1244.4444444444443","0.0002010770590805174","0","0.0002010770590805174","0.0002010770590805174","48_49:0.007056517000531226;48_47:0.01383888051126142","48_49:561.7777777777777;48_47:561.7777777777777","true"
"49","168.18693712903212","45.91207507433979","4.581945612526565","-0.35202725215057706","0.0129999999999999","0.01759999999999995","0.0084","1244.4444444444443","0.00032526802809451204","0","0.00032526802809451204","0.00032526802809451204","","","true"
