"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"42","185.55981303734853","52.270148269555634","0.0043999999999999595","0.006399999999999961","0.0024","2100","0.0002756369485698985","0.0002756369485698985","0","0.0002756369485698985","0.0002756369485698985","42_41:0.002207236861831441;42_43:0.005385274742994134","42_41:68;42_43:68","true"
"43","188.19073571540716","75.83087636899772","0.010199999999999987","0.0126","0.007800000000000029","2100","0.0007436686018571176","0.0007436686018571176","0","0.0007436686018571176","0.0007436686018571176","43_42:0.005385274742994134;43_56:0.002769055243966645;43_44:0.0032283659515194574","43_42:68;43_56:68;43_44:68","true"
"44","191.81118072904437","200.00714286229677","0.00770000000000004","0.01100000000000001","0.0044","2100","0.0002719879226672114","0.0002719879226672114","0","0.0002719879226672114","0.0002719879226672114","44_45:0.004078857515792789;44_43:0.0032283659515194574","44_45:68;44_43:68","true"
"45","161.62644546277787","155.4408551350752","0.0022999999999999687","0.0033999999999999586","0.0012","2100","0.00021555799262173568","0.00021555799262173568","0","0.00021555799262173568","0.00021555799262173568","45_44:0.004078857515792789;45_46:0.0015644734345786615;45_37:0.0034996046001267156","45_44:68;45_46:68;45_37:68","true"
"46","160.7865166538209","248.27117811758384","0.04180000000000006","0.0488","0.03480000000000005","2100","0.00017512860510528644","0.00017512860510528644","0","0.00017512860510528644","0.00017512860510528644","46_45:0.0015644734345786615;46_47:0.0016030424693511403","46_45:68;46_47:68","true"
"47","261.78959517553153","108.32066600664982","0.0837","0.0954","0.07199999999999995","2100","0.00013349414860244026","0.00013349414860244026","0","0.00013349414860244026","0.00013349414860244026","47_48:0.01705360128565117;47_57:0.0019219377956606054;47_46:0.0016030424693511403","47_48:68;47_57:68;47_46:68","true"
"48","231.59530047609567","44.37743904234698","0.08550000000000002","0.11199999999999999","0.059","2100","0.016782874856875442","0.016782874856875442","0","0.016782874856875442","0.016782874856875442","48_47:0.01705360128565117;48_49:0.016215530806237555","48_47:68;48_49:68","true"
"49","322.4161049041266","293.70008550094246","0.009600000000000053","0.0136","0.005600000000000049","2100","0.0004717199725007436","0.0004717199725007436","0","0.0004717199725007436","0.0004717199725007436","49_48:0.016215530806237555;49_50:0.001997122750552194;49_38:0.0034253421382446636","49_48:68;49_50:68;49_38:68","true"
"50","183.0435668519652","205.30905974131974","0.13649999999999995","0.1478","0.12519999999999998","2100","0.0002286830537874181","0.0002286830537874181","0","0.0002286830537874181","0.0002286830537874181","50_49:0.001997122750552194;50_51:0.0015919657914331697","50_49:68;50_51:68","true"
"51","169.9466304666181","257.24564519311303","0.01200000000000001","0.01759999999999995","0.0064","2100","0.0002606401260648591","0.0002606401260648591","0","0.0002606401260648591","0.0002606401260648591","51_50:0.0015919657914331697;51_52:0.0023962461954883385;51_58:0.0012939916489878023","51_50:68;51_52:68;51_58:68","true"
"52","57.75730636544987","41.36733779793555","0.007199999999999984","0.0134","0.0010000000000000009","2100","0.000391853529925822","0.000391853529925822","0","0.000391853529925822","0.000391853529925822","52_51:0.0023962461954883385;52_53:0.0034808911326409397","52_51:68;52_53:68","true"
"53","324.03848287426734","395.7885778508231","0.006199999999999983","0.009","0.0033999999999999586","2100","0.00019308543747412023","0.00019308543747412023","0","0.00019308543747412023","0.00019308543747412023","53_39:0.002532450856950169;53_52:0.0034808911326409397;53_54:0.0014448857034918272","53_39:68;53_52:68;53_54:68","true"
"54","290.18531198413336","465.65910619211485","0.005099999999999993","0.0068","0.0033999999999999586","2100","0.0001630121256581004","0.0001630121256581004","0","0.0001630121256581004","0.0001630121256581004","54_53:0.0014448857034918272;54_55:0.001420499702599498","54_53:68;54_55:68","true"
"55","225.23533290767406","89.50576356080981","0.012499999999999956","0.0194","0.005600000000000049","2100","0.000190585777854258","0.000190585777854258","0","0.000190585777854258","0.000190585777854258","55_59:0.0018707995965808188;55_54:0.001420499702599498","55_59:68;55_54:68","true"
"56","144.66042278714778","134.80323432537867","0.0034000000000000696","0.006199999999999983","0.0006","2100","0.00021892614942087269","0.00021892614942087269","0","0.00021892614942087269","0.00021892614942087269","56_63:0.0035173920997336183;56_43:0.002769055243966645","56_63:68;56_43:68","true"
"57","187.3585120764823","190.67802887038388","0.027200000000000002","0.0286","0.025800000000000045","2100","0.000186816369246717","0.000186816369246717","0","0.000186816369246717","0.000186816369246717","57_47:0.0019219377956606054;57_67:0.006475602754765164","57_47:68;57_67:68","true"
"58","189.8305411675723","237.19202971612978","0.005099999999999993","0.007800000000000029","0.0024","2100","0.00017201892049405142","0.00017201892049405142","0","0.00017201892049405142","0.00017201892049405142","58_71:0.0022219516684506;58_51:0.0012939916489878023","58_71:68;58_51:68","true"
"59","165.68821993157786","169.35215739013736","0.0023999999999999577","0.0041999999999999815","0.0006","2100","0.0001296004086672095","0.0001296004086672095","0","0.0001296004086672095","0.0001296004086672095","59_55:0.0018707995965808188;59_75:0.0014652889055743468","59_55:68;59_75:68","true"
"60","150.54504604488608","305.89213086841994","0.00770000000000004","0.014599999999999946","0.0008","2100","0.0007068200851192392","0.0007068200851192392","0","0.0007068200851192392","0.0007068200851192392","60_61:0.010080778415456015","60_61:80","true"
"61","239.37481022982422","215.0344599569922","0.007000000000000006","0.0118","0.0021999999999999797","2100","0.0001513747950206716","0.0001513747950206716","0","0.0001513747950206716","0.0001513747950206716","61_76:0.0018839547242346377;61_60:0.010080778415456015;61_62:0.0017430425824474516","61_76:68;61_60:80;61_62:68","true"
"62","135.48066219067294","86.12587940606089","0.01200000000000001","0.018","0.006000000000000005","2100","0.00017473587669625628","0.00017473587669625628","0","0.00017473587669625628","0.00017473587669625628","62_61:0.0017430425824474516;62_63:0.0017844090544807956","62_61:68;62_63:68","true"
"63","175.87526142960633","265.54096677158105","0.07319999999999993","0.07779999999999998","0.0686","2100","0.0001592238576168466","0.0001592238576168466","0","0.0001592238576168466","0.0001592238576168466","63_56:0.0035173920997336183;63_62:0.0017844090544807956;63_64:0.0024727793541765852","63_56:68;63_62:68;63_64:68","true"
"64","144.84885490656765","176.99090673453287","0.021399999999999975","0.02839999999999998","0.0144","2100","0.0006784243390739469","0.0006784243390739469","0","0.0006784243390739469","0.0006784243390739469","64_65:0.0020963013309802103;64_63:0.0024727793541765852","64_65:68;64_63:68","true"
"65","251.07433783684274","104.22133569732271","0.009399999999999964","0.014599999999999946","0.0042","2100","0.00014789840692114114","0.00014789840692114114","0","0.00014789840692114114","0.00014789840692114114","65_64:0.0020963013309802103;65_66:0.001687141021896682;65_77:0.002217818912914088","65_64:68;65_66:68;65_77:68","true"
"66","99.68482237212768","183.4436192947061","0.01970000000000005","0.021199999999999997","0.0182","2100","0.00017893676051284043","0.00017893676051284043","0","0.00017893676051284043","0.00017893676051284043","66_65:0.001687141021896682;66_67:0.0021224868057867774","66_65:68;66_67:68","true"
"67","282.9129467572129","24.653132526897455","0.045600000000000085","0.049","0.042200000000000015","2100","0.0002797061421757642","0.0002797061421757642","0","0.0002797061421757642","0.0002797061421757642","67_68:0.006492281140110384;67_57:0.006475602754765164;67_66:0.0021224868057867774","67_68:68;67_57:68;67_66:68","true"
"68","141.09474808074185","18.850725394169068","0.0047000000000000375","0.005800000000000027","0.0036","2100","0.00020972929422328983","0.00020972929422328983","0","0.00020972929422328983","0.00020972929422328983","68_67:0.006492281140110384;68_69:0.0019769832470635795","68_67:68;68_69:68","true"
"69","108.35253648469116","32.56715441414705","0.08299999999999996","0.0878","0.07820000000000005","2100","0.00023222003707245914","0.00023222003707245914","0","0.00023222003707245914","0.00023222003707245914","69_78:0.0028955990021120037;69_68:0.0019769832470635795;69_70:0.0022155846712277882","69_78:68;69_68:68;69_70:80","true"
"70","153.0115898343156","21.464223992615402","0.02499999999999991","0.0458","0.0041999999999999815","2100","0.00019356868148578225","0.00019356868148578225","0","0.00019356868148578225","0.00019356868148578225","70_69:0.0022155846712277882;70_71:0.0027027997648332303","70_69:80;70_71:68","true"
"71","150.57091968699098","75.00818587822302","0.0038000000000000256","0.006399999999999961","0.0012","2100","0.00016830169259149044","0.00016830169259149044","0","0.00016830169259149044","0.00016830169259149044","71_72:0.00229573059862595;71_58:0.0022219516684506;71_70:0.0027027997648332303","71_72:68;71_58:68;71_70:68","true"
"72","124.23826835344894","115.5524586766944","0.022199999999999998","0.0278","0.016599999999999948","2100","0.00030164694108387866","0.00030164694108387866","0","0.00030164694108387866","0.00030164694108387866","72_73:0.04749228871600933;72_71:0.00229573059862595","72_73:68;72_71:68","true"
"73","151.12137331161583","201.39710051473537","0.008599999999999941","0.013399999999999967","0.0038","2100","0.0003413767632176722","0.0003413767632176722","0","0.0003413767632176722","0.0003413767632176722","73_72:0.04749228871600933;73_74:0.001845990899838973;73_79:0.0016354587933720965","73_72:68;73_74:68;73_79:68","true"
"74","91.9026121978361","14.761161482149634","0.02200000000000002","0.0264","0.01759999999999995","2100","0.00035938909995386994","0.00035938909995386994","0","0.00035938909995386994","0.00035938909995386994","74_73:0.001845990899838973;74_75:0.0018871655417433408","74_73:68;74_75:68","true"
"75","384.2481673184391","343.20727223757547","0.01869999999999994","0.0206","0.016800000000000037","2100","0.00011128278632216661","0.00011128278632216661","0","0.00011128278632216661","0.00011128278632216661","75_59:0.0014652889055743468;75_74:0.0018871655417433408","75_59:68;75_74:68","true"
"76","133.5238195621428","58.77606582188175","0.008399999999999963","0.012399999999999967","0.0044","2100","0.00018843018255239034","0.00018843018255239034","0","0.00018843018255239034","0.00018843018255239034","76_81:0.0017603826109318932;76_61:0.0018839547242346377","76_81:68;76_61:68","true"
"77","92.0949442759587","194.18329793158546","0.010800000000000032","0.015","0.00660000000000005","2100","0.00015980461518010834","0.00015980461518010834","0","0.00015980461518010834","0.00015980461518010834","77_85:0.0028169000408818923;77_65:0.002217818912914088","77_85:68;77_65:68","true"
